label,gpu_label,gpu,nvidia_driver,cuda_version,torch_version,transformers_version,precision,epoch,train_loss,train_runtime,train_samples,train_samples_per_second,train_steps_per_second,eval_accuracy,eval_loss,eval_runtime,eval_samples,eval_samples_per_second,eval_steps_per_second,perplexity
stanage-a100-sxm4-slurm-2075873.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,205.35,2318,33.863,4.237,0.4262,3.0481,3.28,240,73.089,9.136,21.0756
stanage-a100-sxm4-slurm-2075873.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,204.38,2318,34.024,4.257,0.4262,3.0481,3.25,240,73.755,9.219,21.0756
stanage-a100-sxm4-slurm-2075873.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,204.23,2318,34.049,4.26,0.4262,3.0481,3.25,240,73.716,9.215,21.0756
stanage-a100-sxm4-slurm-2261521.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1295,197.75,2318,35.164,4.399,0.4263,3.0466,3.33,240,71.924,8.991,21.0444
stanage-a100-sxm4-slurm-2261521.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1295,196.46,2318,35.395,4.428,0.4263,3.0466,3.26,240,73.423,9.178,21.0444
stanage-a100-sxm4-slurm-2261521.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1295,196.34,2318,35.417,4.431,0.4263,3.0466,3.24,240,73.951,9.244,21.0444
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,204.99,2318,33.922,4.244,0.4262,3.0481,3.33,240,72.071,9.009,21.0753
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,204.18,2318,34.058,4.261,0.4262,3.0481,3.27,240,73.228,9.153,21.0753
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,32,3.0,3.1295,203.91,2318,34.103,4.267,0.4262,3.0481,3.26,240,73.498,9.187,21.0753
stanage-a100-sxm4-slurm-2273648.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.3.0,2.3.0a0+ebedce2,4.37.0,16,3.0,3.1295,198.96,2318,34.951,4.373,0.4263,3.0466,3.30,240,72.573,9.072,21.0444
