label,gpu_label,gpu,nvidia_driver,cuda_version,torch_version,transformers_version,precision,epoch,train_loss,train_runtime,train_samples,train_samples_per_second,train_steps_per_second,eval_accuracy,eval_loss,eval_runtime,eval_samples,eval_samples_per_second,eval_steps_per_second,perplexity
bessemer-v100-sxm2-32-slurm-3509661.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1311,735.51,2318,9.455,1.183,0.4265,3.0506,9.87,240,24.304,3.038,21.1276
bessemer-v100-sxm2-32-slurm-3509661.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1311,734.68,2318,9.465,1.184,0.4265,3.0506,9.75,240,24.591,3.074,21.1276
bessemer-v100-sxm2-32-slurm-3509661.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1311,734.35,2318,9.47,1.185,0.4265,3.0506,9.83,240,24.406,3.051,21.1276
bessemer-v100-sxm2-32-slurm-3509662.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1297,377.43,2318,18.424,2.305,0.4266,3.047,5.82,240,41.221,5.153,21.0523
bessemer-v100-sxm2-32-slurm-3509662.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1297,374.06,2318,18.59,2.326,0.4266,3.047,5.71,240,41.962,5.245,21.0523
bessemer-v100-sxm2-32-slurm-3509662.out,bessemer-v100-sxm2-32,Tesla V100-SXM2-32GB,535.129.03,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1297,373.91,2318,18.598,2.327,0.4266,3.047,5.62,240,42.685,5.336,21.0523
stanage-a100-sxm4-slurm-2075873.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,205.35,2318,33.863,4.237,0.4262,3.0481,3.28,240,73.089,9.136,21.0756
stanage-a100-sxm4-slurm-2075873.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,204.38,2318,34.024,4.257,0.4262,3.0481,3.25,240,73.755,9.219,21.0756
stanage-a100-sxm4-slurm-2075873.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,204.23,2318,34.049,4.26,0.4262,3.0481,3.25,240,73.716,9.215,21.0756
stanage-a100-sxm4-slurm-2261521.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1295,197.75,2318,35.164,4.399,0.4263,3.0466,3.33,240,71.924,8.991,21.0444
stanage-a100-sxm4-slurm-2261521.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1295,196.46,2318,35.395,4.428,0.4263,3.0466,3.26,240,73.423,9.178,21.0444
stanage-a100-sxm4-slurm-2261521.out,stanage-a100-sxm4,NVIDIA A100-SXM...,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1295,196.34,2318,35.417,4.431,0.4263,3.0466,3.24,240,73.951,9.244,21.0444
stanage-h100-pcie-slurm-2269042.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1302,319.89,2318,21.739,2.72,0.4263,3.0495,4.79,240,50.074,6.259,21.1048
stanage-h100-pcie-slurm-2269042.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1302,318.35,2318,21.843,2.733,0.4263,3.0495,4.69,240,51.075,6.384,21.1048
stanage-h100-pcie-slurm-2269042.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1302,318.48,2318,21.834,2.732,0.4263,3.0495,4.69,240,51.066,6.383,21.1048
stanage-h100-pcie-slurm-2269043.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1306,283.73,2318,24.509,3.066,0.4261,3.0481,4.29,240,55.887,6.986,21.0752
stanage-h100-pcie-slurm-2269043.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1306,282.57,2318,24.609,3.079,0.4261,3.0481,4.20,240,57.055,7.132,21.0752
stanage-h100-pcie-slurm-2269043.out,stanage-h100-pcie,NVIDIA H100 PCIe,525.147.05,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1306,282.96,2318,24.576,3.075,0.4261,3.0481,4.19,240,57.209,7.151,21.0752
bede-gh200-slurm-791417.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,115.86,2318,60.016,7.508,0.4262,3.0486,2.02,240,118.544,14.818,21.0859
bede-gh200-slurm-791417.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,115.36,2318,60.276,7.541,0.4262,3.0486,2.02,240,118.508,14.814,21.0859
bede-gh200-slurm-791417.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.1.0,2.1.0a0+b5021ba,4.37.0,32,3.0,3.1295,117.17,2318,59.346,7.425,0.4262,3.0486,2.01,240,118.875,14.859,21.0859
bede-gh200-slurm-793973.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1305,118.90,2318,58.486,7.317,0.4261,3.0477,2.20,240,108.761,13.595,21.0665
bede-gh200-slurm-793973.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1305,117.95,2318,58.953,7.376,0.4261,3.0477,2.17,240,110.344,13.793,21.0665
bede-gh200-slurm-793973.out,bede-gh200,NVIDIA GH200 480GB,550.54.14,12.1.0,2.1.0a0+b5021ba,4.37.0,16,3.0,3.1305,119.28,2318,58.299,7.294,0.4261,3.0477,2.18,240,110.083,13.76,21.0665
